2016,07,21, EnVyUs, 07, fnatic, 16, dust2, 12, 16, 0.76 
2016,07,21, EnVyUs, 13, fnatic, 16, cobblestone, 12, 19, 0.71 
2016,07,06, mousesports, 16, EnVyUs, 12, train, 15, 20, 0.85 
2016,07,05, EnVyUs, 07, Liquid, 16, train, 09, 19, 0.47 
2016,07,02, Virtus.pro, 08, EnVyUs, 16, cache, 19, 15, 1.11 
2016,07,02, Virtus.pro, 11, EnVyUs, 16, train, 23, 16, 1.22 
2016,06,30, EnVyUs, 16, compLexity, 08, cache, 20, 14, 1.28 
2016,06,30, EnVyUs, 16, compLexity, 09, dust2, 19, 14, 1.11 
2016,06,29, EnVyUs, 16, compLexity, 09, cobblestone, 17, 16, 0.98 
2016,06,29, EnVyUs, 16, compLexity, 12, train, 25, 22, 1.19 
2016,06,28, Virtus.pro, 11, EnVyUs, 16, cache, 11, 23, 0.53 
2016,06,28, EnVyUs, 16, Virtus.pro, 19, mirage, 22, 28, 0.82 
2016,06,28, Gambit, 09, EnVyUs, 16, cobblestone, 17, 15, 1.06 
2016,06,28, EnVyUs, 16, Gambit, 13, dust2, 11, 17, 0.69 
2016,06,12, Cloud9, 12, EnVyUs, 16, cobblestone, 14, 21, 0.73 
2016,06,11, EnVyUs, 16, Splyce, 04, cobblestone, 10, 09, 0.95 
2016,06,10, Gambit, 16, EnVyUs, 10, cobblestone, 14, 21, 0.74 
2016,06,09, EnVyUs, 16, Immortals, 06, dust2, 11, 11, 0.98 
2016,05,19, EnVyUs, 16, dignitas, 04, cobblestone, 23, 12, 1.64 
2016,05,19, dignitas, 13, EnVyUs, 16, mirage, 16, 20, 0.81 
2016,05,19, dignitas, 16, EnVyUs, 07, dust2, 09, 18, 0.55 
2016,05,18, EnVyUs, 05, NiP, 16, mirage, 13, 17, 0.78 
2016,05,18, NiP, 16, EnVyUs, 09, cache, 18, 18, 0.97 
2016,05,11, mousesports, 16, EnVyUs, 14, dust2, 14, 21, 0.69 
2016,05,11, mousesports, 16, EnVyUs, 11, inferno, 17, 21, 0.92 
2016,05,11, mousesports, 05, EnVyUs, 16, mirage, 18, 11, 1.24 
2016,05,10, Virtus.pro, 16, EnVyUs, 09, train, 09, 19, 0.54 
2016,05,10, Virtus.pro, 16, EnVyUs, 14, cache, 20, 21, 1.00 
2016,05,10, Virtus.pro, 09, EnVyUs, 16, inferno, 14, 15, 0.91 
2016,05,03, Astralis, 16, EnVyUs, 14, cache, 23, 16, 1.21 
2016,05,03, EnVyUs, 06, Astralis, 16, mirage, 15, 18, 0.88 
2016,05,03, fnatic, 16, EnVyUs, 14, cache, 20, 24, 0.84 
2016,05,03, EnVyUs, 08, fnatic, 16, mirage, 11, 19, 0.67 
2016,04,26, FaZe, 16, EnVyUs, 07, train, 11, 20, 0.53 
2016,04,26, FaZe, 16, EnVyUs, 14, inferno, 15, 17, 0.79 
2016,04,21, EnVyUs, 03, NiP, 16, train, 08, 16, 0.51 
2016,04,21, EnVyUs, 10, NiP, 16, cache, 16, 19, 0.93 
2016,04,20, FaZe, 11, EnVyUs, 16, cobblestone, 22, 19, 1.20 
2016,04,20, FaZe, 09, EnVyUs, 16, dust2, 15, 14, 0.98 
2016,04,19, mousesports, 16, EnVyUs, 08, cache, 12, 21, 0.57 
2016,04,19, mousesports, 22, EnVyUs, 19, inferno, 22, 30, 0.72 
2016,04,17, NatusVincere, 16, EnVyUs, 02, inferno, 06, 17, 0.36 
2016,04,17, NatusVincere, 16, EnVyUs, 07, dust2, 08, 19, 0.48 
2016,04,16, EnVyUs, 16, dignitas, 08, mirage, 17, 15, 1.09 
2016,04,16, dignitas, 12, EnVyUs, 16, inferno, 08, 16, 0.63 
2016,04,14, TempoStorm, 14, EnVyUs, 16, inferno, 12, 18, 0.72 
2016,04,14, EnVyUs, 16, TempoStorm, 09, dust2, 13, 16, 0.77 
2016,04,13, FaZe, 12, EnVyUs, 16, cache, 12, 18, 0.73 
2016,04,12, EnVyUs, 14, TempoStorm, 16, cobblestone, 17, 21, 0.78 
2016,04,10, EnVyUs, 22, 0G2, 20, inferno, 32, 28, 1.14 
2016,04,10, 0G2, 16, EnVyUs, 06, dust2, 06, 18, 0.46 
2016,04,10, EnVyUs, 16, 0G2, 07, cobblestone, 15, 13, 0.95 
2016,04,07, dignitas, 16, EnVyUs, 07, inferno, 10, 18, 0.59 
2016,04,07, EnVyUs, 14, dignitas, 16, mirage, 17, 20, 0.80 
2016,03,30, Gambit, 16, EnVyUs, 13, cache, 14, 20, 0.74 
2016,03,29, CLG, 16, EnVyUs, 08, cobblestone, 14, 17, 0.85 
2016,03,20, NatusVincere, 16, EnVyUs, 07, cobblestone, 13, 19, 0.71 
2016,03,20, NatusVincere, 16, EnVyUs, 11, train, 16, 20, 0.94 
2016,03,17, EnVyUs, 19, NRG, 22, mirage, 21, 28, 0.84 
2016,03,17, EnVyUs, 16, NRG, 03, cobblestone, 12, 11, 1.09 
2016,03,17, EnVyUs, 13, NRG, 16, dust2, 11, 22, 0.55 
2016,03,12, Astralis, 07, EnVyUs, 16, inferno, 22, 11, 1.58 
2016,03,12, EnVyUs, 10, Astralis, 16, train, 17, 20, 0.87 
2016,03,10, EnVyUs, 16, FlipSid3, 07, cobblestone, 15, 13, 1.13 
2016,03,10, EnVyUs, 16, FlipSid3, 09, mirage, 20, 16, 1.15 
2016,03,09, 0G2, 16, EnVyUs, 12, train, 06, 23, 0.35 
2016,03,09, 0G2, 16, EnVyUs, 11, cache, 16, 20, 0.77 
2016,02,25, k1ck, 16, LDLCWhite, 12, cobblestone, 22, 22, 1.06 
2016,02,25, LDLCWhite, 16, k1ck, 13, cache, 20, 19, 1.00 
2016,02,25, k1ck, 16, LDLCWhite, 10, dust2, 15, 21, 0.73 
2016,02,22, Platinium, 16, LDLCWhite, 05, cobblestone, 10, 17, 0.64 
2016,02,22, Platinium, 16, LDLCWhite, 13, inferno, 20, 19, 1.02 
2016,02,12, ALTERNATEaTTaX, 16, LDLCWhite, 10, mirage, 14, 23, 0.63 
2016,02,12, ALTERNATEaTTaX, 07, LDLCWhite, 16, cobblestone, 15, 15, 0.90 
2016,02,12, LDLCWhite, 16, ALTERNATEaTTaX, 21, cache, 31, 24, 1.27 
2016,02,11, mousesports, 16, LDLCWhite, 13, cobblestone, 16, 19, 0.84 
2016,02,11, mousesports, 21, LDLCWhite, 18, dust2, 26, 27, 0.96 
