2016,08,01, dignitas, 14, 00X, 16, mirage, 27, 19, 1.36 
2016,08,01, 00X, 16, dignitas, 06, overpass, 15, 17, 0.91 
2016,08,01, dignitas, 16, AGG, 01, nuke, 20, 04, 1.95 
2016,08,01, dignitas, 16, AGG, 08, cobblestone, 19, 10, 1.31 
2016,08,01, AGG, 16, dignitas, 14, mirage, 23, 21, 0.96 
2016,08,01, NokSuKao, 06, dignitas, 16, overpass, 15, 12, 1.05 
2016,08,01, dignitas, 16, NokSuKao, 14, nuke, 23, 17, 1.13 
2016,08,01, NokSuKao, 16, dignitas, 12, mirage, 14, 18, 0.81 
2016,07,07, Astralis, 16, dignitas, 14, cache, 29, 24, 1.32 
2016,07,07, dignitas, 10, Astralis, 16, mirage, 18, 21, 0.91 
2016,07,07, Astralis, 16, dignitas, 19, cobblestone, 22, 22, 0.98 
2016,07,06, CLG, 01, dignitas, 16, cobblestone, 13, 03, 1.58 
2016,07,05, dignitas, 12, Astralis, 16, overpass, 21, 19, 1.03 
2016,06,16, FaZe, 16, dignitas, 14, mirage, 24, 21, 1.15 
2016,06,16, FaZe, 14, dignitas, 16, overpass, 14, 20, 0.76 
2016,06,16, dignitas, 10, FaZe, 16, cache, 16, 20, 0.81 
2016,06,15, dignitas, 16, TSM, 11, dust2, 19, 17, 0.95 
2016,06,15, TSM, 12, dignitas, 16, mirage, 26, 19, 1.33 
2016,06,15, dignitas, 06, fnatic, 16, dust2, 10, 20, 0.51 
2016,06,15, fnatic, 16, dignitas, 09, cobblestone, 20, 20, 1.06 
2016,06,14, FaZe, 16, dignitas, 06, mirage, 10, 21, 0.47 
2016,06,14, FaZe, 16, dignitas, 05, cobblestone, 06, 19, 0.34 
2016,06,12, TyLoo, 03, dignitas, 16, cobblestone, 18, 10, 1.33 
2016,06,12, dignitas, 16, Renegades, 12, dust2, 25, 16, 1.37 
2016,06,11, dignitas, 10, HellRaisers, 16, nuke, 20, 17, 1.06 
2016,06,10, Empire, 13, dignitas, 16, nuke, 23, 17, 1.12 
2016,06,09, FaZe, 16, dignitas, 08, mirage, 19, 18, 1.16 
2016,05,23, 0G2, 16, dignitas, 08, cache, 21, 19, 1.17 
2016,05,23, 0G2, 16, dignitas, 10, overpass, 18, 20, 0.99 
2016,05,22, dignitas, 08, mousesports, 16, train, 17, 16, 1.06 
2016,05,22, mousesports, 03, dignitas, 16, mirage, 17, 09, 1.48 
2016,05,22, dignitas, 03, mousesports, 16, dust2, 15, 16, 0.91 
2016,05,19, EnVyUs, 16, dignitas, 04, cobblestone, 07, 19, 0.45 
2016,05,19, dignitas, 13, EnVyUs, 16, mirage, 26, 16, 1.37 
2016,05,19, dignitas, 16, EnVyUs, 07, dust2, 27, 11, 1.66 
2016,05,18, dignitas, 13, Astralis, 16, cache, 22, 18, 1.02 
2016,05,18, Astralis, 16, dignitas, 06, overpass, 15, 14, 0.97 
2016,05,11, Astralis, 13, Luminosity, 16, train, 28, 21, 1.27 
2016,05,11, Astralis, 12, Luminosity, 16, overpass, 17, 20, 0.86 
2016,05,11, Luminosity, 09, Astralis, 16, dust2, 12, 17, 0.69 
2016,05,11, Astralis, 07, OpTic, 16, inferno, 14, 16, 1.01 
2016,05,09, NiP, 16, Astralis, 09, cobblestone, 18, 18, 0.99 
2016,05,09, Astralis, 14, NiP, 16, overpass, 12, 18, 0.70 
2016,05,03, Astralis, 16, EnVyUs, 14, cache, 18, 21, 0.84 
2016,05,03, EnVyUs, 06, Astralis, 16, mirage, 19, 11, 1.39 
2016,04,28, Astralis, 16, 0G2, 04, overpass, 11, 11, 0.88 
2016,04,28, Astralis, 16, 0G2, 13, dust2, 15, 21, 0.76 
2016,04,26, fnatic, 22, Astralis, 19, train, 37, 30, 1.23 
2016,04,26, Astralis, 16, fnatic, 05, overpass, 17, 12, 1.16 
