2016,07,27, Canada, 16, Mexico, 12, cache, 22, 17, 1.04 
2016,07,27, Canada, 16, Mexico, 10, mirage, 15, 15, 0.96 
2016,07,26, Canada, 16, Guatemala, 01, cache, 11, 03, 1.32 
2016,07,26, Canada, 16, ElSalvador, 00, dust2, 14, 03, 1.68 
2016,07,06, FlipSid3, 16, OpTic, 13, train, 11, 22, 0.53 
2016,07,05, OpTic, 04, NiP, 16, dust2, 09, 17, 0.53 
2016,06,12, HellRaisers, 14, OpTic, 16, cache, 17, 20, 0.90 
2016,06,11, FlipSid3, 07, OpTic, 16, train, 25, 11, 1.66 
2016,06,10, FluffyGangsters, 09, OpTic, 16, train, 20, 13, 1.20 
2016,06,09, Gambit, 16, OpTic, 14, cobblestone, 18, 17, 1.03 
2016,06,02, OpTic, 14, NiP, 16, train, 19, 22, 0.88 
2016,06,02, OpTic, 02, NiP, 16, overpass, 10, 17, 0.61 
2016,06,02, NiP, 03, OpTic, 16, cobblestone, 14, 08, 1.27 
2016,06,01, OpTic, 16, Selfless, 14, mirage, 18, 18, 0.96 
2016,06,01, Selfless, 01, OpTic, 16, cobblestone, 09, 09, 0.86 
2016,06,01, 0G2, 16, OpTic, 04, nuke, 17, 17, 1.15 
2016,06,01, OpTic, 14, 0G2, 16, train, 13, 24, 0.58 
2016,05,31, OpTic, 10, NiP, 16, train, 15, 20, 0.74 
2016,05,31, OpTic, 04, NiP, 16, cobblestone, 07, 16, 0.57 
2016,05,25, TSM, 16, OpTic, 13, cache, 12, 25, 0.50 
2016,05,25, TSM, 16, OpTic, 11, train, 13, 20, 0.70 
2016,05,25, OpTic, 16, TSM, 02, overpass, 11, 08, 1.03 
2016,05,25, OpTic, 12, Liquid, 16, cobblestone, 15, 18, 0.86 
2016,05,25, OpTic, 07, Liquid, 16, mirage, 07, 16, 0.53 
2016,05,25, OpTic, 16, Liquid, 01, overpass, 11, 06, 1.17 
2016,05,24, OpTic, 19, CLG, 17, overpass, 28, 25, 1.06 
2016,05,24, OpTic, 08, CLG, 16, train, 18, 19, 0.99 
2016,05,24, CLG, 10, OpTic, 16, cache, 17, 19, 0.94 
2016,05,24, OpTic, 16, NRG, 13, overpass, 22, 19, 1.04 
2016,05,24, OpTic, 16, NRG, 03, mirage, 12, 12, 0.98 
2016,05,22, TempoStorm, 12, OpTic, 16, nuke, 20, 17, 1.10 
2016,05,22, TempoStorm, 13, OpTic, 16, train, 20, 20, 1.01 
2016,05,22, OpTic, 13, TempoStorm, 16, dust2, 20, 23, 1.01 
2016,05,21, TempoStorm, 06, OpTic, 16, cobblestone, 12, 12, 0.91 
2016,05,21, TempoStorm, 07, OpTic, 16, train, 19, 12, 1.26 
2016,05,20, TSM, 11, OpTic, 16, mirage, 16, 17, 0.93 
2016,05,20, TSM, 16, OpTic, 08, cache, 11, 18, 0.68 
2016,05,20, OpTic, 16, TSM, 07, overpass, 18, 12, 1.30 
2016,05,19, OpTic, 16, Selfless, 01, train, 15, 06, 1.57 
2016,05,19, WinOut, 02, OpTic, 16, train, 13, 08, 1.15 
2016,05,12, OpTic, 13, Luminosity, 16, overpass, 14, 23, 0.59 
2016,05,12, Luminosity, 16, OpTic, 12, inferno, 23, 24, 1.03 
2016,05,11, 0G2, 16, OpTic, 07, cobblestone, 10, 19, 0.58 
2016,05,11, Astralis, 07, OpTic, 16, inferno, 08, 16, 0.59 
2016,05,07, TSM, 16, OpTic, 10, cobblestone, 08, 22, 0.43 
2016,05,07, TSM, 16, OpTic, 12, cache, 22, 20, 1.10 
2016,05,05, OpTic, 11, compLexity, 16, inferno, 24, 20, 1.23 
2016,05,05, compLexity, 03, OpTic, 16, cache, 13, 09, 1.18 
