2016,07,22, mousesports, 16, Astralis, 12, dust2, 31, 20, 1.53 
2016,07,22, Astralis, 02, mousesports, 16, mirage, 07, 14, 0.54 
2016,07,08, Astralis, 15, Virtus.pro, 19, train, 36, 20, 1.61 
2016,07,08, Virtus.pro, 19, Astralis, 17, overpass, 32, 23, 1.31 
2016,07,07, Astralis, 16, dignitas, 14, cache, 23, 21, 1.12 
2016,07,07, dignitas, 10, Astralis, 16, mirage, 22, 13, 1.41 
2016,07,07, Astralis, 16, dignitas, 19, cobblestone, 24, 22, 0.99 
2016,07,06, Astralis, 06, Gambit, 16, dust2, 16, 18, 0.84 
2016,07,05, dignitas, 12, Astralis, 16, overpass, 27, 16, 1.45 
2016,06,25, Astralis, 08, Cloud9, 16, overpass, 19, 16, 1.10 
2016,06,25, Cloud9, 16, Astralis, 09, dust2, 16, 19, 0.85 
2016,06,24, Astralis, 12, TSM, 16, cobblestone, 26, 22, 1.26 
2016,06,20, NiP, 16, Astralis, 14, cobblestone, 17, 19, 0.85 
2016,06,20, Astralis, 16, NiP, 10, overpass, 25, 15, 1.42 
2016,06,20, Astralis, 12, NiP, 16, cache, 23, 17, 1.30 
2016,06,18, Astralis, 16, 0SK, 12, overpass, 25, 16, 1.32 
2016,06,18, ENCE, 06, Astralis, 16, mirage, 16, 11, 1.25 
2016,06,11, Astralis, 16, CLG, 11, overpass, 24, 20, 1.17 
2016,06,11, Astralis, 16, CLG, 19, dust2, 30, 25, 1.15 
2016,06,11, Astralis, 16, CLG, 07, mirage, 22, 13, 1.36 
2016,06,09, Astralis, 19, NRG, 16, cache, 29, 24, 1.28 
2016,06,09, Astralis, 16, NRG, 13, overpass, 25, 18, 1.21 
2016,06,08, 0SK, 07, Astralis, 16, overpass, 27, 12, 1.93 
2016,06,08, Astralis, 06, 0SK, 16, train, 16, 16, 1.01 
2016,06,07, CLG, 06, Astralis, 16, dust2, 15, 11, 1.16 
2016,06,07, CLG, 02, Astralis, 16, train, 14, 09, 1.19 
2016,06,07, NRG, 14, Astralis, 16, train, 31, 15, 1.64 
2016,06,07, NRG, 12, Astralis, 16, cache, 26, 15, 1.53 
2016,05,21, Astralis, 16, fnatic, 10, mirage, 18, 14, 1.04 
2016,05,21, fnatic, 09, Astralis, 16, cache, 13, 16, 0.82 
2016,05,20, FaZe, 12, Astralis, 16, mirage, 24, 14, 1.23 
2016,05,20, Astralis, 16, FaZe, 10, cache, 15, 16, 0.91 
2016,05,18, dignitas, 13, Astralis, 16, cache, 16, 17, 0.94 
2016,05,18, Astralis, 16, dignitas, 06, overpass, 20, 11, 1.30 
2016,05,11, Astralis, 13, Luminosity, 16, train, 34, 18, 1.67 
2016,05,11, Astralis, 12, Luminosity, 16, overpass, 19, 18, 0.98 
2016,05,11, Luminosity, 09, Astralis, 16, dust2, 28, 14, 1.57 
2016,05,11, Astralis, 07, OpTic, 16, inferno, 12, 15, 0.85 
2016,05,09, NiP, 16, Astralis, 09, cobblestone, 14, 20, 0.70 
2016,05,09, Astralis, 14, NiP, 16, overpass, 18, 20, 0.91 
2016,05,03, Astralis, 16, EnVyUs, 14, cache, 23, 19, 1.21 
2016,05,03, EnVyUs, 06, Astralis, 16, mirage, 20, 11, 1.51 
2016,04,28, Astralis, 16, 0G2, 04, overpass, 21, 07, 1.87 
2016,04,28, Astralis, 16, 0G2, 13, dust2, 26, 13, 1.48 
2016,04,26, fnatic, 22, Astralis, 19, train, 18, 29, 0.66 
2016,04,26, Astralis, 16, fnatic, 05, overpass, 12, 12, 0.97 
2016,04,25, Virtus.pro, 08, Astralis, 16, cache, 16, 11, 1.07 
2016,04,25, Astralis, 16, Virtus.pro, 01, inferno, 27, 05, 2.45 
2016,04,19, FaZe, 09, Astralis, 16, inferno, 15, 16, 0.91 
2016,04,19, FaZe, 12, Astralis, 16, dust2, 26, 15, 1.36 
2016,04,14, Astralis, 12, NiP, 16, train, 21, 15, 1.25 
2016,04,14, Astralis, 16, NiP, 09, inferno, 23, 13, 1.58 
2016,04,14, Astralis, 05, NiP, 16, cache, 14, 16, 0.92 
2016,04,13, dignitas, 16, Astralis, 09, cache, 19, 17, 1.22 
2016,04,12, CSGL, 09, Astralis, 16, mirage, 20, 11, 1.29 
2016,04,10, mousesports, 03, Astralis, 16, mirage, 21, 08, 1.82 
2016,04,10, mousesports, 13, Astralis, 16, train, 22, 14, 1.24 
2016,04,10, mousesports, 16, Astralis, 05, dust2, 11, 17, 0.62 
2016,04,02, Astralis, 05, NatusVincere, 16, dust2, 09, 19, 0.49 
2016,04,02, NatusVincere, 16, Astralis, 14, inferno, 22, 20, 0.98 
2016,04,01, fnatic, 05, Astralis, 16, cache, 16, 09, 1.21 
2016,04,01, Astralis, 16, fnatic, 10, overpass, 21, 16, 1.21 
2016,03,30, CLG, 09, Astralis, 16, overpass, 20, 12, 1.26 
2016,03,29, Gambit, 10, Astralis, 16, train, 28, 16, 1.57 
2016,03,23, Astralis, 04, NiP, 16, cache, 11, 15, 0.72 
2016,03,23, Astralis, 08, NiP, 16, mirage, 20, 17, 1.15 
2016,03,20, dignitas, 05, Astralis, 16, mirage, 32, 08, 2.39 
2016,03,20, dignitas, 11, Astralis, 16, inferno, 28, 16, 1.52 
2016,03,18, Astralis, 05, NatusVincere, 16, mirage, 09, 17, 0.57 
2016,03,18, NatusVincere, 12, Astralis, 16, inferno, 27, 21, 1.30 
2016,03,18, Astralis, 09, NatusVincere, 16, train, 20, 21, 1.08 
2016,03,18, NRG, 09, Astralis, 16, train, 16, 17, 0.89 
2016,03,18, Astralis, 16, NRG, 03, dust2, 16, 10, 1.27 
2016,03,17, Astralis, 16, Torpedo, 02, dust2, 16, 09, 1.51 
2016,03,17, Astralis, 16, Torpedo, 06, cache, 13, 12, 0.94 
2016,03,13, Astralis, 16, 0SK, 05, mirage, 22, 09, 1.59 
2016,03,13, 0SK, 07, Astralis, 16, train, 18, 10, 1.29 
2016,03,12, Astralis, 07, EnVyUs, 16, inferno, 16, 15, 1.04 
2016,03,12, EnVyUs, 10, Astralis, 16, train, 16, 16, 0.89 
2016,03,08, Astralis, 16, mousesports, 04, dust2, 12, 12, 1.03 
2016,03,08, Astralis, 16, mousesports, 12, mirage, 23, 14, 1.45 
2016,03,04, fnatic, 16, Astralis, 07, inferno, 15, 16, 0.94 
2016,03,04, Astralis, 16, fnatic, 12, cache, 17, 19, 1.02 
2016,03,04, fnatic, 16, Astralis, 06, overpass, 17, 16, 1.13 
2016,03,03, Astralis, 16, TempoStorm, 12, cache, 14, 20, 0.80 
2016,03,03, FaZe, 05, Astralis, 16, inferno, 21, 09, 1.63 
2016,03,03, Astralis, 16, E-frag.net, 05, mirage, 20, 11, 1.38 
2016,03,03, Virtus.pro, 06, Astralis, 16, overpass, 20, 12, 1.34 
2016,03,03, Astralis, 16, EnVyUs, 11, train, 23, 17, 1.23 
2016,02,25, fnatic, 16, Astralis, 12, train, 29, 18, 1.41 
2016,02,25, fnatic, 16, Astralis, 13, overpass, 21, 20, 1.16 
2016,02,25, Astralis, 02, fnatic, 16, cache, 18, 13, 1.32 
2016,02,24, Astralis, 16, Virtus.pro, 11, cache, 19, 17, 1.11 
2016,02,24, Virtus.pro, 03, Astralis, 16, overpass, 13, 07, 1.21 
2016,02,21, fnatic, 16, Astralis, 13, inferno, 18, 21, 0.94 
2016,02,21, Astralis, 14, fnatic, 16, dust2, 16, 18, 0.93 
2016,02,21, Astralis, 16, dignitas, 12, overpass, 33, 15, 1.88 
2016,02,21, dignitas, 11, Astralis, 16, mirage, 19, 19, 0.98 
2016,02,20, 0G2, 16, Astralis, 13, dust2, 20, 22, 0.95 
2016,02,20, Astralis, 16, EnVyUs, 09, mirage, 25, 11, 1.55 
2016,02,19, Astralis, 16, x6tence, 02, mirage, 16, 07, 1.56 
2016,02,19, 0G2, 17, Astralis, 19, dust2, 28, 23, 1.22 
2016,02,16, Astralis, 16, FlipSid3, 07, overpass, 27, 10, 2.00 
2016,02,16, FlipSid3, 07, Astralis, 16, mirage, 25, 12, 1.70 
2016,02,10, 0G2, 16, Astralis, 08, cache, 20, 18, 1.12 
2016,02,10, Astralis, 16, 0G2, 10, inferno, 20, 20, 0.90 
2016,02,09, Astralis, 14, NatusVincere, 16, overpass, 31, 19, 1.51 
2016,02,09, NatusVincere, 13, Astralis, 16, mirage, 20, 18, 1.09 
2016,02,07, Astralis, 16, CLG, 04, dust2, 25, 09, 1.87 
2016,02,07, CLG, 03, Astralis, 16, overpass, 13, 11, 1.04 
2016,02,06, Astralis, 08, EnVyUs, 16, mirage, 18, 16, 1.24 
2016,02,06, Astralis, 16, EnVyUs, 13, overpass, 23, 18, 1.21 
2016,02,06, Astralis, 13, EnVyUs, 16, cache, 12, 21, 0.59 
2016,02,05, Astralis, 19, 0G2, 15, cache, 30, 21, 1.17 
2016,02,05, 0G2, 16, Astralis, 13, overpass, 21, 21, 1.03 
2016,02,05, 0G2, 11, Astralis, 16, train, 18, 14, 1.16 
2016,02,05, Method, 04, Astralis, 16, overpass, 21, 08, 1.63 
2016,02,05, Astralis, 16, Method, 02, mirage, 16, 07, 1.40 
2016,01,23, Astralis, 12, Luminosity, 16, overpass, 11, 24, 0.49 
2016,01,23, Astralis, 08, Luminosity, 16, train, 15, 16, 0.84 
2016,01,22, Astralis, 22, mousesports, 19, mirage, 31, 28, 1.16 
2016,01,22, dignitas, 09, Astralis, 16, overpass, 25, 12, 1.56 
2016,01,15, 00?, 13, NatusVincere, 16, mirage, 22, 21, 1.16 
2016,01,15, 00?, 16, NatusVincere, 11, overpass, 22, 17, 1.24 
2016,01,15, 00?, 04, NatusVincere, 16, dust2, 07, 18, 0.43 
2016,01,14, fnatic, 16, 00?, 07, inferno, 09, 22, 0.44 
2016,01,14, fnatic, 08, 00?, 16, mirage, 17, 13, 1.18 
2016,01,14, 00?, 10, fnatic, 16, dust2, 17, 19, 0.90 
2016,01,14, 00?, 13, EnVyUs, 16, inferno, 22, 22, 0.97 
2016,01,14, EnVyUs, 16, 00?, 14, mirage, 18, 17, 0.95 
2016,01,14, 00?, 16, ex-Titan, 14, train, 21, 15, 1.17 
2016,01,14, 00?, 16, ex-Titan, 07, dust2, 22, 09, 1.57 
2016,01,12, EnVyUs, 07, 00?, 16, cache, 17, 12, 1.21 
2016,01,12, EnVyUs, 05, 00?, 16, overpass, 15, 14, 0.98 
2016,01,11, 00?, 16, Titan, 07, dust2, 18, 13, 1.16 
2016,01,11, Titan, 21, 00?, 17, train, 30, 26, 1.15 
2016,01,11, Titan, 19, 00?, 21, overpass, 17, 32, 0.58 
2016,01,09, 00?, 19, Vexed, 17, train, 25, 19, 1.13 
2016,01,09, 00?, 16, Vexed, 03, overpass, 14, 12, 1.01 
2016,01,08, 00?, 16, PENTA, 02, cache, 15, 10, 1.25 
2016,01,08, PENTA, 05, 00?, 16, mirage, 26, 09, 2.00 
2015,12,17, 00?, 16, EnVyUs, 13, train, 12, 23, 0.53 
2015,12,17, 00?, 16, EnVyUs, 10, inferno, 16, 18, 0.90 
2015,12,13, fnatic, 16, 00?, 14, mirage, 26, 16, 1.45 
2015,12,13, fnatic, 16, 00?, 12, inferno, 23, 17, 1.15 
2015,12,11, NatusVincere, 13, 00?, 16, inferno, 18, 21, 0.84 
2015,12,11, 00?, 16, NatusVincere, 12, train, 24, 14, 1.46 
2015,12,11, CLG, 06, 00?, 16, inferno, 27, 10, 1.89 
2015,12,11, CLG, 12, 00?, 16, mirage, 27, 14, 1.50 
2015,12,07, E-frag.net, 12, 00?, 16, cache, 24, 20, 1.11 
2015,12,07, 00?, 16, E-frag.net, 06, overpass, 17, 11, 1.26 
2015,12,05, 0SK, 16, 00?, 02, cache, 02, 17, 0.14 
2015,12,05, 0SK, 16, 00?, 13, mirage, 24, 21, 1.18 
2015,12,05, 00?, 16, 0SK, 09, train, 19, 14, 1.04 
2015,12,04, fnatic, 16, 00?, 10, mirage, 17, 18, 0.89 
2015,12,04, 00?, 11, fnatic, 16, cache, 22, 19, 1.16 
2015,12,02, TSM, 10, 0G2, 16, mirage, 14, 20, 0.73 
2015,12,02, TSM, 14, 0G2, 16, inferno, 29, 20, 1.33 
2015,12,02, TSM, 19, DenDD, 16, overpass, 23, 20, 1.03 
2015,12,02, TSM, 11, DenDD, 16, inferno, 20, 17, 1.09 
2015,12,02, TSM, 16, DenDD, 09, cache, 14, 19, 0.76 
2015,12,01, TSM, 16, E-frag.net, 05, inferno, 13, 13, 0.97 
2015,12,01, E-frag.net, 09, TSM, 16, overpass, 24, 14, 1.44 
2015,12,01, TSM, 05, E-frag.net, 16, dust2, 13, 15, 0.86 
2015,11,30, TSM, 16, dignitas, 12, mirage, 14, 20, 0.71 
2015,11,30, dignitas, 19, TSM, 16, overpass, 21, 28, 0.76 
2015,11,30, TSM, 16, dignitas, 06, inferno, 17, 14, 1.15 
2015,11,28, TSM, 17, Luminosity, 21, inferno, 17, 28, 0.70 
2015,11,28, TSM, 06, Luminosity, 16, overpass, 13, 19, 0.71 
2015,11,28, TSM, 16, Luminosity, 05, mirage, 14, 13, 0.98 
2015,11,26, Virtus.pro, 13, TSM, 16, mirage, 18, 22, 0.86 
2015,11,26, Liquid, 00, TSM, 16, overpass, 28, 06, 2.62 
2015,11,23, NatusVincere, 16, TSM, 08, cobblestone, 14, 19, 0.75 
2015,11,23, TSM, 10, NatusVincere, 16, dust2, 16, 19, 0.85 
2015,11,22, TSM, 16, 0G2, 06, mirage, 18, 11, 1.28 
