2016,08,06, SpaceSoldiers, 16, Epsilon, 05, cobblestone, 10, 19, 0.59 
2016,08,06, Epsilon, 11, SpaceSoldiers, 16, cache, 13, 18, 0.74 
2016,08,06, ENCE, 12, Epsilon, 16, cobblestone, 24, 15, 1.34 
2016,08,06, ENCE, 22, Epsilon, 20, dust2, 26, 30, 0.92 
2016,08,06, Epsilon, 16, ENCE, 14, nuke, 26, 17, 1.25 
2016,08,05, Epsilon, 16, Escape, 10, mirage, 16, 16, 0.98 
2016,08,05, Epsilon, 16, Escape, 08, nuke, 14, 15, 0.84 
2016,08,05, Epsilon, 11, Escape, 16, dust2, 22, 20, 1.02 
2016,08,05, Epsilon, 16, LGR, 12, cache, 23, 16, 1.33 
2016,08,05, Epsilon, 10, Millenium, 16, mirage, 10, 20, 0.58 
2016,07,30, Epsilon, 16, 0MK, 04, mirage, 22, 11, 1.61 
2016,07,30, Epsilon, 16, 0MK, 04, cache, 26, 11, 1.89 
2016,07,30, 0MK, 16, Epsilon, 08, dust2, 14, 19, 0.75 
2016,07,28, ENCE, 16, Epsilon, 12, cache, 19, 22, 0.97 
2016,07,28, Epsilon, 16, ENCE, 14, mirage, 21, 20, 0.99 
2016,07,28, ENCE, 16, Epsilon, 14, dust2, 16, 23, 0.71 
2016,07,28, Epsilon, 15, ALTERNATEaTTaX, 19, nuke, 13, 27, 0.56 
2016,07,28, ALTERNATEaTTaX, 09, Epsilon, 16, cobblestone, 16, 18, 0.90 
2016,07,28, ALTERNATEaTTaX, 16, Epsilon, 12, dust2, 19, 20, 0.99 
2016,07,26, Epsilon, 16, LeiSuRe, 11, cobblestone, 11, 20, 0.59 
2016,07,26, LeiSuRe, 17, Epsilon, 19, mirage, 31, 25, 1.31 
2016,07,24, 00X, 14, Epsilon, 16, cobblestone, 17, 19, 0.95 
2016,07,24, 00X, 10, Epsilon, 16, dust2, 22, 13, 1.29 
2016,07,24, Epsilon, 16, 00X, 06, train, 17, 12, 1.07 
2016,07,22, Epsilon, 16, VG.CyberZen, 08, nuke, 21, 16, 1.17 
2016,07,22, VG.CyberZen, 16, Epsilon, 07, overpass, 07, 16, 0.55 
2016,07,22, VG.CyberZen, 04, Epsilon, 16, cache, 12, 11, 0.93 
2016,07,22, Epsilon, 16, eFuture, 05, mirage, 21, 10, 1.65 
2016,07,22, Epsilon, 16, BornOfFire, 13, dust2, 16, 18, 0.85 
2016,07,22, Epsilon, 16, TyLoo, 11, mirage, 23, 18, 1.22 
2016,07,18, Epsilon, 09, Tricked, 16, nuke, 08, 18, 0.52 
2016,07,18, Epsilon, 04, Tricked, 16, cobblestone, 06, 16, 0.41 
2016,07,18, Epsilon, 16, LGR, 04, nuke, 18, 10, 1.30 
2016,07,18, Epsilon, 12, LGR, 16, dust2, 28, 19, 1.39 
2016,07,18, LGR, 05, Epsilon, 16, mirage, 18, 16, 1.08 
2016,07,18, HUE1, 09, Epsilon, 16, mirage, 16, 16, 0.92 
2016,07,18, Epsilon, 16, HUE1, 14, overpass, 23, 21, 1.08 
2016,07,18, Epsilon, 13, HUE1, 16, cache, 21, 21, 0.97 
2016,07,17, 00X, 14, Epsilon, 16, mirage, 16, 23, 0.81 
2016,07,17, 00X, 23, Epsilon, 25, cobblestone, 31, 33, 0.92 
2016,07,17, ENCE, 16, Epsilon, 10, train, 16, 19, 0.89 
2016,07,17, ENCE, 19, Epsilon, 16, dust2, 30, 27, 1.18 
2016,07,17, Epsilon, 16, ENCE, 06, mirage, 13, 12, 1.00 
2016,07,16, 00X, 13, Epsilon, 16, mirage, 20, 22, 0.97 
2016,07,04, Kinguin, 16, Epsilon, 05, mirage, 16, 20, 0.92 
2016,07,04, Kinguin, 16, Epsilon, 05, overpass, 11, 18, 0.69 
2016,06,30, Epsilon, 16, LowLandLions, 06, overpass, 17, 16, 1.00 
2016,06,30, Epsilon, 16, LowLandLions, 14, dust2, 17, 22, 0.75 
2016,06,28, Epsilon, 20, 00X, 22, mirage, 18, 33, 0.59 
2016,06,27, Kinguin, 16, Epsilon, 02, cache, 07, 18, 0.52 
2016,06,27, Epsilon, 16, Kinguin, 11, dust2, 14, 19, 0.74 
2016,06,27, Epsilon, 10, Kinguin, 16, mirage, 14, 19, 0.69 
2016,06,26, ALTERNATEaTTaX, 16, Epsilon, 13, train, 17, 21, 0.83 
2016,06,26, ALTERNATEaTTaX, 16, Epsilon, 04, overpass, 14, 16, 0.83 
2016,06,26, Epsilon, 16, ALTERNATEaTTaX, 14, cache, 22, 24, 0.95 
2016,06,23, Epsilon, 16, Gambit, 08, mirage, 16, 17, 0.92 
2016,06,23, Gambit, 13, Epsilon, 16, dust2, 15, 22, 0.71 
2016,06,23, Epsilon, 17, Gambit, 19, train, 33, 25, 1.27 
2016,06,22, Epsilon, 16, ArchAngels, 11, cache, 17, 19, 0.88 
2016,06,22, ArchAngels, 05, Epsilon, 16, overpass, 16, 11, 1.22 
2016,06,19, Epsilon, 14, NiP, 16, cache, 18, 23, 0.85 
2016,06,19, Epsilon, 13, NiP, 16, overpass, 17, 20, 0.86 
2016,06,19, Epsilon, 16, HellRaisers, 13, mirage, 18, 20, 0.85 
2016,06,19, Epsilon, 16, HellRaisers, 10, nuke, 13, 18, 0.69 
2016,06,18, ArchAngels, 16, Epsilon, 19, overpass, 22, 21, 0.95 
2016,06,18, Epsilon, 16, ArchAngels, 08, mirage, 12, 18, 0.69 
2016,06,18, NiP, 16, Epsilon, 09, cache, 19, 19, 1.16 
2016,06,05, Epsilon, 07, Orbit, 16, overpass, 12, 18, 0.66 
2016,06,05, Orbit, 16, Epsilon, 03, mirage, 12, 16, 0.81 
2016,06,03, Epsilon, 03, Escape, 16, overpass, 13, 17, 0.84 
2016,06,03, Epsilon, 16, Escape, 04, mirage, 11, 13, 0.83 
2016,06,03, Escape, 16, Epsilon, 01, dust2, 05, 16, 0.33 
2016,05,30, Epsilon, 16, Escape, 09, mirage, 21, 15, 1.17 
2016,05,30, Escape, 16, Epsilon, 13, overpass, 19, 21, 0.91 
2016,05,30, Escape, 12, Epsilon, 16, cache, 18, 20, 0.92 
2016,05,29, Arcade, 14, Epsilon, 16, cache, 24, 20, 1.08 
2016,05,29, Epsilon, 12, Arcade, 16, mirage, 10, 24, 0.44 
2016,05,29, Arcade, 13, Epsilon, 16, overpass, 12, 22, 0.58 
2016,05,29, Gambit, 09, Epsilon, 16, mirage, 21, 18, 1.07 
2016,05,29, Gambit, 13, Epsilon, 16, cache, 16, 21, 0.79 
2016,05,29, Epsilon, 13, Gambit, 16, dust2, 21, 21, 0.93 
2016,05,29, Epsilon, 16, Tricked, 14, train, 15, 22, 0.69 
2016,05,29, Tricked, 05, Epsilon, 16, mirage, 18, 12, 1.29 
2016,05,29, Tricked, 16, Epsilon, 04, dust2, 06, 18, 0.36 
2016,05,29, PRIDE, 15, Epsilon, 19, mirage, 21, 23, 0.88 
2016,05,29, Epsilon, 13, PRIDE, 16, overpass, 16, 23, 0.71 
