2016,07,13, FlipSid3, 05, Renegades, 16, train, 09, 17, 0.54 
2016,07,13, FlipSid3, 05, Renegades, 16, cobblestone, 11, 17, 0.62 
2016,07,08, 0SK, 19, FlipSid3, 17, nuke, 23, 27, 0.85 
2016,07,08, FlipSid3, 07, 0SK, 16, mirage, 15, 22, 0.71 
2016,07,07, NiP, 11, FlipSid3, 16, mirage, 12, 19, 0.63 
2016,07,07, FlipSid3, 16, NiP, 02, cache, 10, 07, 1.06 
2016,07,07, FlipSid3, 14, NiP, 16, overpass, 11, 22, 0.58 
2016,07,06, FlipSid3, 16, OpTic, 13, train, 21, 18, 1.05 
2016,07,05, NatusVincere, 16, FlipSid3, 07, train, 25, 19, 1.48 
2016,06,25, NatusVincere, 16, FlipSid3, 02, mirage, 04, 18, 0.22 
2016,06,25, NatusVincere, 16, FlipSid3, 13, train, 16, 20, 0.81 
2016,06,23, mousesports, 09, FlipSid3, 16, cache, 14, 14, 0.92 
2016,06,23, FlipSid3, 16, mousesports, 09, overpass, 23, 14, 1.38 
2016,06,22, EchoFox, 02, FlipSid3, 16, train, 09, 09, 0.95 
2016,06,22, EchoFox, 16, FlipSid3, 05, nuke, 11, 18, 0.66 
2016,06,22, FlipSid3, 06, NatusVincere, 16, train, 12, 20, 0.53 
2016,06,22, FlipSid3, 08, NatusVincere, 16, overpass, 16, 20, 0.86 
2016,06,21, FlipSid3, 16, mousesports, 06, cobblestone, 13, 12, 0.94 
2016,06,21, mousesports, 19, FlipSid3, 16, train, 13, 28, 0.54 
2016,06,12, FlipSid3, 16, HellRaisers, 09, overpass, 22, 14, 1.30 
2016,06,12, FlipSid3, 16, Immortals, 12, train, 19, 18, 0.94 
2016,06,11, FlipSid3, 07, OpTic, 16, train, 08, 17, 0.53 
2016,06,10, FlipSid3, 05, FaZe, 16, cobblestone, 12, 16, 0.73 
2016,06,09, Renegades, 09, FlipSid3, 16, mirage, 24, 12, 1.48 
2016,05,20, NatusVincere, 16, FlipSid3, 09, cobblestone, 13, 20, 0.64 
2016,05,20, NatusVincere, 16, FlipSid3, 14, overpass, 24, 23, 1.01 
2016,05,20, NatusVincere, 04, FlipSid3, 16, train, 15, 14, 0.96 
2016,05,19, GODSENT, 16, FlipSid3, 13, inferno, 11, 21, 0.60 
2016,05,19, FlipSid3, 03, GODSENT, 16, cobblestone, 08, 17, 0.44 
2016,05,11, FlipSid3, 13, GODSENT, 16, cobblestone, 12, 20, 0.64 
2016,05,11, FlipSid3, 14, GODSENT, 16, train, 16, 24, 0.74 
2016,04,27, CSGL, 16, FlipSid3, 02, cache, 08, 16, 0.53 
2016,04,27, CSGL, 16, FlipSid3, 04, overpass, 15, 17, 0.92 
2016,04,26, FlipSid3, 16, Virtus.pro, 06, inferno, 23, 11, 1.57 
2016,04,26, Virtus.pro, 16, FlipSid3, 14, train, 18, 21, 0.80 
2016,04,25, 0SK, 12, FlipSid3, 16, train, 19, 20, 1.03 
2016,04,25, 0SK, 14, FlipSid3, 16, mirage, 21, 20, 0.95 
2016,04,25, 0SK, 16, FlipSid3, 12, overpass, 17, 20, 0.82 
2016,04,21, FlipSid3, 02, FaZe, 16, cobblestone, 05, 17, 0.31 
2016,04,21, FlipSid3, 08, FaZe, 16, inferno, 14, 18, 0.76 
2016,04,20, FlipSid3, 07, dignitas, 16, cobblestone, 11, 21, 0.55 
2016,04,20, dignitas, 03, FlipSid3, 16, overpass, 16, 12, 1.25 
2016,04,20, FlipSid3, 16, NatusVincere, 08, cobblestone, 13, 14, 0.84 
2016,04,20, FlipSid3, 12, NatusVincere, 16, train, 17, 23, 0.72 
2016,04,19, PENTA, 16, FlipSid3, 12, mirage, 15, 21, 0.84 
2016,04,19, PENTA, 14, FlipSid3, 16, overpass, 14, 22, 0.70 
2016,04,19, FlipSid3, 08, PENTA, 16, cache, 13, 21, 0.63 
2016,04,17, QuackPack, 05, FlipSid3, 16, cobblestone, 13, 09, 1.04 
2016,04,17, FlipSid3, 16, QuackPack, 11, inferno, 16, 19, 0.82 
2016,04,13, Escape, 06, FlipSid3, 16, mirage, 18, 13, 1.12 
2016,04,13, FlipSid3, 16, Escape, 11, cobblestone, 13, 14, 0.86 
2016,04,11, FlipSid3, 16, Method, 13, mirage, 20, 21, 0.98 
2016,04,11, FlipSid3, 19, Method, 15, train, 20, 21, 0.96 
2016,04,10, dignitas, 16, FlipSid3, 08, inferno, 13, 18, 0.73 
2016,04,10, dignitas, 13, FlipSid3, 16, overpass, 16, 23, 0.71 
2016,04,10, FlipSid3, 08, dignitas, 16, mirage, 08, 21, 0.48 
2016,04,07, NiP, 16, FlipSid3, 08, cobblestone, 12, 21, 0.64 
2016,04,07, FlipSid3, 04, NiP, 16, overpass, 05, 19, 0.25 
2016,03,30, FlipSid3, 28, mousesports, 31, cobblestone, 38, 43, 0.93 
2016,03,29, FlipSid3, 17, NiP, 19, cache, 22, 26, 0.87 
2016,03,23, fnatic, 16, FlipSid3, 14, inferno, 13, 26, 0.47 
2016,03,23, FlipSid3, 13, fnatic, 16, overpass, 16, 26, 0.67 
2016,03,22, 0SK, 16, FlipSid3, 13, train, 11, 22, 0.53 
2016,03,22, 0SK, 10, FlipSid3, 16, mirage, 26, 14, 1.70 
2016,03,21, 0SK, 12, FlipSid3, 16, cobblestone, 15, 17, 0.87 
2016,03,21, FlipSid3, 16, 0SK, 08, cache, 17, 14, 1.17 
2016,03,20, mousesports, 13, FlipSid3, 16, cobblestone, 11, 22, 0.55 
2016,03,20, mousesports, 12, FlipSid3, 16, overpass, 16, 25, 0.75 
2016,03,20, FlipSid3, 10, Ancient, 16, train, 16, 22, 0.71 
2016,03,20, Ancient, 16, FlipSid3, 04, inferno, 09, 20, 0.38 
2016,03,20, FlipSid3, 16, WEGOTGAME, 04, cobblestone, 19, 09, 1.42 
2016,03,20, WEGOTGAME, 08, FlipSid3, 16, train, 19, 12, 1.24 
2016,03,17, NatusVincere, 16, FlipSid3, 06, mirage, 09, 20, 0.44 
2016,03,17, NatusVincere, 09, FlipSid3, 16, overpass, 16, 17, 0.89 
2016,03,17, FlipSid3, 10, NatusVincere, 16, train, 14, 20, 0.79 
2016,03,14, CSGL, 16, FlipSid3, 08, cache, 10, 19, 0.61 
2016,03,14, CSGL, 19, FlipSid3, 17, train, 20, 28, 0.74 
2016,03,14, ENCE, 11, FlipSid3, 16, cobblestone, 20, 14, 1.16 
2016,03,14, FlipSid3, 16, ENCE, 10, mirage, 23, 14, 1.38 
2016,03,13, 0G2, 16, FlipSid3, 07, overpass, 12, 18, 0.66 
2016,03,13, 0G2, 16, FlipSid3, 12, train, 15, 24, 0.63 
2016,03,13, Ancient, 07, FlipSid3, 16, mirage, 16, 12, 1.07 
2016,03,13, Ancient, 09, FlipSid3, 16, overpass, 22, 14, 1.33 
2016,03,13, FlipSid3, 12, Ancient, 16, inferno, 15, 20, 0.81 
2016,03,13, FlipSid3, 19, Preparation, 17, cobblestone, 12, 24, 0.58 
2016,03,13, FlipSid3, 16, Preparation, 09, overpass, 20, 14, 1.33 
2016,03,13, Preparation, 19, FlipSid3, 17, inferno, 27, 29, 1.01 
2016,03,10, EnVyUs, 16, FlipSid3, 07, cobblestone, 15, 15, 1.16 
2016,03,10, EnVyUs, 16, FlipSid3, 09, mirage, 13, 20, 0.69 
2016,03,09, Preparation, 03, FlipSid3, 16, train, 13, 09, 1.12 
2016,03,09, FlipSid3, 16, Preparation, 06, cache, 19, 14, 1.31 
2016,03,02, CSGL, 03, FlipSid3, 16, cobblestone, 13, 10, 1.11 
2016,03,02, FlipSid3, 16, CSGL, 01, train, 20, 08, 1.72 
2016,02,28, TempoStorm, 05, FlipSid3, 16, train, 12, 11, 0.95 
2016,02,28, FlipSid3, 16, TempoStorm, 05, cache, 20, 11, 1.49 
2016,02,27, FlipSid3, 14, 0G2, 16, inferno, 18, 25, 0.83 
2016,02,26, FlipSid3, 16, Selfless, 13, inferno, 15, 22, 0.79 
2016,02,19, FlipSid3, 10, Orgless, 16, inferno, 17, 19, 0.86 
2016,02,19, FlipSid3, 20, Orgless, 22, mirage, 21, 33, 0.72 
2016,02,19, Orgless, 09, FlipSid3, 16, overpass, 17, 15, 1.01 
2016,02,17, FlipSid3, 19, E-frag.net, 16, cobblestone, 19, 24, 0.83 
2016,02,17, E-frag.net, 16, FlipSid3, 09, inferno, 16, 21, 0.83 
2016,02,16, Astralis, 16, FlipSid3, 07, overpass, 14, 21, 0.63 
2016,02,16, FlipSid3, 07, Astralis, 16, mirage, 12, 18, 0.79 
2016,02,14, FlipSid3, 09, mousesports, 16, overpass, 09, 20, 0.46 
2016,02,14, mousesports, 16, FlipSid3, 06, cache, 11, 19, 0.58 
2016,02,14, FlipSid3, 16, E-frag.net, 04, cobblestone, 14, 10, 1.17 
2016,02,14, E-frag.net, 07, FlipSid3, 16, overpass, 17, 15, 1.03 
2016,02,14, E-frag.net, 16, FlipSid3, 12, inferno, 21, 20, 1.03 
2016,02,13, FlipSid3, 11, mousesports, 16, cobblestone, 17, 21, 0.79 
2016,02,13, mousesports, 16, FlipSid3, 05, mirage, 11, 16, 0.74 
2016,02,13, FlipSid3, 16, HellRaisers, 13, overpass, 13, 22, 0.59 
2016,02,13, HellRaisers, 06, FlipSid3, 16, cobblestone, 21, 11, 1.47 
2016,02,11, CSGL, 10, FlipSid3, 16, cobblestone, 22, 15, 1.28 
2016,02,11, CSGL, 11, FlipSid3, 16, train, 24, 15, 1.45 
2016,02,11, FlipSid3, 14, CSGL, 16, overpass, 16, 20, 0.83 
2016,02,04, CLG, 16, FlipSid3, 04, overpass, 11, 19, 0.62 
2016,02,04, FlipSid3, 14, CLG, 16, inferno, 13, 21, 0.74 
2016,02,04, dignitas, 16, FlipSid3, 12, cobblestone, 18, 19, 0.92 
2016,02,04, dignitas, 16, FlipSid3, 13, inferno, 18, 19, 0.98 
2016,01,20, FlipSid3, 16, PENTA, 09, mirage, 17, 16, 1.00 
2016,01,20, PENTA, 07, FlipSid3, 16, cobblestone, 17, 13, 1.17 
2016,01,20, FlipSid3, 16, Planetkey, 03, mirage, 17, 12, 1.29 
2016,01,20, Planetkey, 09, FlipSid3, 16, train, 21, 17, 1.08 
2016,01,19, 0G2, 04, FlipSid3, 16, mirage, 09, 17, 0.59 
2016,01,19, FlipSid3, 21, 0G2, 16, train, 23, 29, 0.81 
