2016,08,09, 00X, 16, GODSENT, 10, cobblestone, 16, 20, 0.81 
2016,08,09, GODSENT, 16, 00X, 04, dust2, 19, 09, 1.62 
2016,08,09, 00X, 16, GODSENT, 11, train, 16, 22, 0.75 
2016,07,27, GODSENT, 16, PRIDE, 11, mirage, 25, 20, 1.33 
2016,07,27, GODSENT, 16, PRIDE, 12, cobblestone, 19, 19, 0.93 
2016,07,26, Kinguin, 16, GODSENT, 10, train, 17, 18, 0.95 
2016,07,26, Kinguin, 16, GODSENT, 12, cache, 17, 24, 0.75 
2016,07,26, Kinguin, 06, GODSENT, 16, mirage, 23, 10, 1.58 
2016,07,25, PENTA, 11, GODSENT, 16, overpass, 15, 19, 0.83 
2016,07,25, PENTA, 10, GODSENT, 16, cache, 15, 17, 0.85 
2016,07,25, PENTA, 16, GODSENT, 10, cobblestone, 15, 18, 0.87 
2016,06,20, Immortals, 16, GODSENT, 08, train, 18, 18, 1.07 
2016,06,20, Immortals, 12, GODSENT, 16, mirage, 21, 20, 1.03 
2016,06,20, Immortals, 16, GODSENT, 11, cache, 18, 21, 0.93 
2016,06,18, GODSENT, 16, NiP, 08, mirage, 20, 15, 1.15 
2016,06,18, HellRaisers, 07, GODSENT, 16, cobblestone, 15, 14, 1.12 
2016,05,21, GODSENT, 14, NatusVincere, 16, mirage, 18, 22, 0.87 
2016,05,21, NatusVincere, 16, GODSENT, 12, cobblestone, 19, 19, 0.99 
2016,05,21, GODSENT, 16, WorstPlayers, 06, overpass, 11, 12, 0.84 
2016,05,21, GODSENT, 11, WorstPlayers, 16, cobblestone, 17, 21, 0.75 
2016,05,21, WorstPlayers, 14, GODSENT, 16, mirage, 28, 23, 1.12 
2016,05,20, Dobry&Gaming, 16, GODSENT, 05, cache, 08, 19, 0.45 
2016,05,20, Dobry&Gaming, 16, GODSENT, 01, train, 05, 17, 0.25 
2016,05,19, GODSENT, 16, FlipSid3, 13, inferno, 20, 18, 1.07 
2016,05,19, FlipSid3, 03, GODSENT, 16, cobblestone, 25, 12, 1.92 
2016,05,14, ENCE, 16, GODSENT, 13, mirage, 22, 19, 1.06 
2016,05,14, GODSENT, 16, ENCE, 06, cache, 19, 11, 1.31 
2016,05,14, ENCE, 16, GODSENT, 06, train, 12, 19, 0.70 
2016,05,14, CSGL, 06, GODSENT, 16, cobblestone, 23, 12, 1.72 
2016,05,14, ENCE, 19, GODSENT, 17, mirage, 23, 21, 1.02 
2016,05,11, FlipSid3, 13, GODSENT, 16, cobblestone, 29, 18, 1.49 
2016,05,11, FlipSid3, 14, GODSENT, 16, train, 24, 20, 1.25 
2016,05,01, GODSENT, 16, RCTIC, 07, inferno, 14, 13, 0.99 
2016,05,01, RCTIC, 10, GODSENT, 16, cache, 18, 17, 1.15 
2016,05,01, Desperados, 04, GODSENT, 16, cache, 19, 08, 1.57 
2016,05,01, GODSENT, 16, Desperados, 13, train, 25, 16, 1.31 
2016,04,27, GODSENT, 09, Gambit, 16, train, 11, 22, 0.51 
2016,04,27, GODSENT, 06, Gambit, 16, cobblestone, 07, 17, 0.48 
2016,04,26, CSGL, 16, GODSENT, 11, cache, 10, 19, 0.57 
2016,04,26, GODSENT, 12, CSGL, 16, mirage, 11, 17, 0.65 
2016,04,24, CSGL, 16, GODSENT, 11, cache, 17, 20, 0.84 
2016,04,24, CSGL, 16, GODSENT, 12, overpass, 11, 20, 0.66 
2016,04,24, GODSENT, 19, deadweight, 16, inferno, 31, 20, 1.40 
2016,04,24, deadweight, 11, GODSENT, 16, train, 28, 17, 1.47 
2016,04,24, deadweight, 16, GODSENT, 14, mirage, 20, 23, 0.92 
2016,04,20, PiTER, 13, GODSENT, 16, mirage, 29, 20, 1.39 
2016,04,20, PiTER, 01, GODSENT, 16, inferno, 19, 03, 1.95 
2016,04,17, GODSENT, 10, NiP, 16, mirage, 18, 18, 1.07 
2016,04,17, GODSENT, 19, NiP, 16, train, 18, 20, 0.88 
2016,04,17, GODSENT, 14, NiP, 16, cobblestone, 24, 17, 1.22 
2016,04,16, mousesports, 13, GODSENT, 16, mirage, 31, 19, 1.43 
2016,04,16, GODSENT, 16, mousesports, 10, inferno, 17, 15, 1.00 
2016,04,16, mousesports, 16, GODSENT, 07, cache, 15, 18, 0.77 
2016,04,14, GODSENT, 16, CLG, 08, cache, 12, 14, 0.81 
2016,04,14, CLG, 16, GODSENT, 19, overpass, 22, 22, 0.96 
2016,04,13, GODSENT, 16, 0G2, 08, train, 22, 14, 1.37 
2016,04,12, NatusVincere, 16, GODSENT, 11, train, 09, 20, 0.53 
2016,04,07, GODSENT, 05, SpaceSoldiers, 16, cobblestone, 15, 18, 0.88 
2016,04,07, GODSENT, 10, SpaceSoldiers, 16, mirage, 09, 21, 0.47 
2016,03,28, Ancient, 08, CSGL, 16, cobblestone, 18, 17, 1.06 
