218,148,23,19,1.20
219,148,10,17,0.57
365,148,18,12,1.21
366,148,30,17,1.85
403,148,13,22,0.58
404,148,25,13,1.41
560,148,16,16,0.91
561,148,19,20,1.11
562,148,25,18,1.18
724,148,23,21,1.07
725,148,17,18,1.04
726,148,25,22,1.07
738,148,17,10,1.41
739,148,29,14,1.84
987,148,12,17,0.72
988,148,8,16,0.48
1065,148,32,16,1.67
1066,148,29,21,1.40
1324,339,25,27,0.92
1325,339,26,20,1.36
1326,339,22,12,1.46
1327,339,16,15,0.97
1329,339,26,17,1.30
1861,148,28,17,1.49
1862,148,26,19,1.16
1863,148,17,30,0.67
2069,148,20,15,1.19
2070,148,18,22,0.91
2649,148,26,18,1.27
2650,148,20,16,1.40
2733,148,10,21,0.52
2734,148,17,14,0.94
2735,148,21,26,0.86
3475,148,17,19,0.90
3476,148,19,20,0.95
3502,148,28,17,1.46
3508,148,18,21,0.87
3511,148,20,17,1.08
3601,148,26,18,1.34
3602,148,27,25,1.02
3656,148,13,14,0.95
3657,148,24,10,1.66
4672,148,26,19,1.49
4673,148,19,29,0.69
4681,148,20,17,1.06
4682,148,15,17,0.81
4683,148,16,16,1.00
4693,148,19,12,1.21
4694,148,14,10,1.03
4737,148,30,14,1.68
9962,339,14,20,0.70
9963,339,23,13,1.72
9995,339,25,15,1.35
