2016,07,22, mousesports, 16, Astralis, 12, dust2, 18, 17, 0.98 
2016,07,22, Astralis, 02, mousesports, 16, mirage, 05, 15, 0.37 
2016,07,08, Astralis, 15, Virtus.pro, 19, train, 18, 20, 0.88 
2016,07,08, Virtus.pro, 19, Astralis, 17, overpass, 18, 26, 0.74 
2016,07,07, Astralis, 16, dignitas, 14, cache, 24, 18, 1.11 
2016,07,07, dignitas, 10, Astralis, 16, mirage, 26, 15, 1.43 
2016,07,07, Astralis, 16, dignitas, 19, cobblestone, 29, 25, 1.19 
2016,07,06, Astralis, 06, Gambit, 16, dust2, 08, 16, 0.61 
2016,07,05, dignitas, 12, Astralis, 16, overpass, 18, 17, 0.92 
2016,06,25, Astralis, 08, Cloud9, 16, overpass, 13, 19, 0.86 
2016,06,25, Cloud9, 16, Astralis, 09, dust2, 12, 18, 0.70 
2016,06,24, Astralis, 12, TSM, 16, cobblestone, 13, 23, 0.62 
2016,06,20, NiP, 16, Astralis, 14, cobblestone, 08, 24, 0.41 
2016,06,20, Astralis, 16, NiP, 10, overpass, 15, 13, 0.93 
2016,06,20, Astralis, 12, NiP, 16, cache, 10, 21, 0.56 
2016,06,18, Astralis, 16, 0SK, 12, overpass, 18, 17, 1.02 
2016,06,18, ENCE, 06, Astralis, 16, mirage, 24, 14, 1.58 
2016,06,11, Astralis, 16, CLG, 11, overpass, 13, 18, 0.72 
2016,06,11, Astralis, 16, CLG, 19, dust2, 18, 27, 0.65 
2016,06,11, Astralis, 16, CLG, 07, mirage, 16, 12, 1.17 
2016,06,09, Astralis, 19, NRG, 16, cache, 26, 21, 1.13 
2016,06,09, Astralis, 16, NRG, 13, overpass, 15, 21, 0.68 
2016,06,08, 0SK, 07, Astralis, 16, overpass, 14, 14, 0.90 
2016,06,08, Astralis, 06, 0SK, 16, train, 11, 16, 0.80 
2016,05,21, Astralis, 16, fnatic, 10, mirage, 15, 17, 0.83 
2016,05,21, fnatic, 09, Astralis, 16, cache, 17, 09, 1.21 
2016,05,20, FaZe, 12, Astralis, 16, mirage, 12, 17, 0.70 
2016,05,20, Astralis, 16, FaZe, 10, cache, 11, 15, 0.74 
2016,05,18, dignitas, 13, Astralis, 16, cache, 25, 19, 1.28 
2016,05,18, Astralis, 16, dignitas, 06, overpass, 18, 12, 1.27 
2016,05,11, Astralis, 13, Luminosity, 16, train, 13, 21, 0.68 
2016,05,11, Astralis, 12, Luminosity, 16, overpass, 21, 24, 0.93 
2016,05,11, Luminosity, 09, Astralis, 16, dust2, 18, 14, 1.05 
2016,05,11, Astralis, 07, OpTic, 16, inferno, 16, 19, 0.80 
2016,05,09, NiP, 16, Astralis, 09, cobblestone, 09, 23, 0.39 
2016,05,09, Astralis, 14, NiP, 16, overpass, 22, 22, 1.00 
2016,05,03, Astralis, 16, EnVyUs, 14, cache, 16, 24, 0.67 
2016,05,03, EnVyUs, 06, Astralis, 16, mirage, 17, 12, 1.15 
2016,04,28, Astralis, 16, 0G2, 04, overpass, 15, 14, 0.93 
2016,04,28, Astralis, 16, 0G2, 13, dust2, 13, 19, 0.76 
2016,04,26, fnatic, 22, Astralis, 19, train, 26, 28, 0.99 
2016,04,26, Astralis, 16, fnatic, 05, overpass, 14, 11, 1.03 
2016,04,25, Virtus.pro, 08, Astralis, 16, cache, 11, 14, 0.77 
2016,04,25, Astralis, 16, Virtus.pro, 01, inferno, 14, 10, 1.19 
2016,04,19, FaZe, 09, Astralis, 16, inferno, 30, 19, 1.73 
2016,04,19, FaZe, 12, Astralis, 16, dust2, 14, 19, 0.87 
2016,04,14, Astralis, 12, NiP, 16, train, 15, 20, 0.81 
2016,04,14, Astralis, 16, NiP, 09, inferno, 11, 17, 0.72 
2016,04,14, Astralis, 05, NiP, 16, cache, 09, 16, 0.61 
2016,04,13, dignitas, 16, Astralis, 09, cache, 18, 18, 0.95 
2016,04,12, CSGL, 09, Astralis, 16, mirage, 22, 16, 1.38 
2016,04,10, mousesports, 03, Astralis, 16, mirage, 15, 12, 1.20 
2016,04,10, mousesports, 13, Astralis, 16, train, 19, 20, 0.90 
2016,04,10, mousesports, 16, Astralis, 05, dust2, 12, 17, 0.85 
2016,04,02, Astralis, 05, NatusVincere, 16, dust2, 12, 16, 0.75 
2016,04,02, NatusVincere, 16, Astralis, 14, inferno, 15, 18, 0.80 
2016,04,01, fnatic, 05, Astralis, 16, cache, 11, 13, 0.75 
2016,04,01, Astralis, 16, fnatic, 10, overpass, 19, 18, 1.15 
2016,03,30, CLG, 09, Astralis, 16, overpass, 14, 15, 0.89 
2016,03,29, Gambit, 10, Astralis, 16, train, 13, 22, 0.61 
2016,03,23, Astralis, 04, NiP, 16, cache, 09, 17, 0.56 
2016,03,23, Astralis, 08, NiP, 16, mirage, 08, 19, 0.47 
2016,03,20, dignitas, 05, Astralis, 16, mirage, 07, 11, 0.67 
2016,03,20, dignitas, 11, Astralis, 16, inferno, 17, 18, 0.93 
2016,03,18, Astralis, 05, NatusVincere, 16, mirage, 12, 17, 0.72 
2016,03,18, NatusVincere, 12, Astralis, 16, inferno, 18, 18, 0.87 
2016,03,18, Astralis, 09, NatusVincere, 16, train, 13, 19, 0.75 
2016,03,18, NRG, 09, Astralis, 16, train, 22, 16, 1.31 
2016,03,18, Astralis, 16, NRG, 03, dust2, 21, 09, 1.75 
2016,03,17, Astralis, 16, Torpedo, 02, dust2, 09, 10, 0.88 
2016,03,17, Astralis, 16, Torpedo, 06, cache, 24, 14, 1.50 
2016,03,13, Astralis, 16, 0SK, 05, mirage, 16, 10, 1.20 
2016,03,13, 0SK, 07, Astralis, 16, train, 16, 13, 1.04 
2016,03,12, Astralis, 07, EnVyUs, 16, inferno, 13, 19, 0.69 
2016,03,12, EnVyUs, 10, Astralis, 16, train, 17, 19, 0.88 
2016,03,08, Astralis, 16, mousesports, 04, dust2, 17, 10, 1.29 
2016,03,08, Astralis, 16, mousesports, 12, mirage, 13, 18, 0.70 
2016,03,04, fnatic, 16, Astralis, 07, inferno, 06, 20, 0.35 
2016,03,04, Astralis, 16, fnatic, 12, cache, 26, 19, 1.39 
2016,03,04, fnatic, 16, Astralis, 06, overpass, 11, 18, 0.59 
2016,03,03, Astralis, 16, TempoStorm, 12, cache, 25, 17, 1.23 
2016,03,03, FaZe, 05, Astralis, 16, inferno, 17, 15, 1.10 
2016,03,03, Astralis, 16, E-frag.net, 05, mirage, 13, 16, 0.82 
2016,03,03, Virtus.pro, 06, Astralis, 16, overpass, 15, 13, 0.96 
2016,03,03, Astralis, 16, EnVyUs, 11, train, 12, 22, 0.54 
2016,02,25, fnatic, 16, Astralis, 12, train, 11, 25, 0.44 
2016,02,25, fnatic, 16, Astralis, 13, overpass, 12, 23, 0.59 
2016,02,25, Astralis, 02, fnatic, 16, cache, 11, 15, 0.71 
2016,02,24, Astralis, 16, Virtus.pro, 11, cache, 20, 21, 0.93 
2016,02,24, Virtus.pro, 03, Astralis, 16, overpass, 15, 12, 1.11 
2016,02,21, fnatic, 16, Astralis, 13, inferno, 20, 17, 1.05 
2016,02,21, Astralis, 14, fnatic, 16, dust2, 14, 21, 0.87 
2016,02,21, Astralis, 16, dignitas, 12, overpass, 14, 19, 0.87 
2016,02,21, dignitas, 11, Astralis, 16, mirage, 18, 17, 0.97 
2016,02,20, 0G2, 16, Astralis, 13, dust2, 20, 21, 1.06 
2016,02,20, Astralis, 16, EnVyUs, 09, mirage, 10, 14, 0.76 
2016,02,19, Astralis, 16, x6tence, 02, mirage, 20, 06, 1.79 
2016,02,19, 0G2, 17, Astralis, 19, dust2, 16, 26, 0.68 
2016,02,16, Astralis, 16, FlipSid3, 07, overpass, 09, 17, 0.59 
2016,02,16, FlipSid3, 07, Astralis, 16, mirage, 20, 11, 1.40 
2016,02,10, 0G2, 16, Astralis, 08, cache, 13, 19, 0.72 
2016,02,10, Astralis, 16, 0G2, 10, inferno, 22, 15, 1.32 
2016,02,09, Astralis, 14, NatusVincere, 16, overpass, 08, 19, 0.52 
2016,02,09, NatusVincere, 13, Astralis, 16, mirage, 22, 16, 1.22 
2016,02,07, Astralis, 16, CLG, 04, dust2, 16, 11, 1.18 
2016,02,07, CLG, 03, Astralis, 16, overpass, 11, 09, 1.00 
2016,02,06, Astralis, 08, EnVyUs, 16, mirage, 13, 19, 0.77 
2016,02,06, Astralis, 16, EnVyUs, 13, overpass, 19, 22, 0.86 
2016,02,06, Astralis, 13, EnVyUs, 16, cache, 23, 24, 1.06 
2016,02,05, Astralis, 19, 0G2, 15, cache, 22, 23, 0.94 
2016,02,05, 0G2, 16, Astralis, 13, overpass, 23, 20, 1.18 
2016,02,05, 0G2, 11, Astralis, 16, train, 18, 20, 0.83 
2016,02,05, Method, 04, Astralis, 16, overpass, 13, 07, 1.19 
