668,244,20,21,1.05
669,244,22,17,1.37
852,244,23,19,1.22
853,244,5,18,0.26
1111,244,14,13,0.93
1112,244,30,26,1.12
1113,244,28,15,1.61
1114,244,10,13,0.77
1433,244,7,16,0.48
1434,244,11,18,0.64
1847,244,16,20,0.81
1848,244,6,20,0.32
1849,244,6,20,0.35
1850,244,16,12,1.10
1866,244,20,24,0.98
1867,244,33,19,1.58
1938,244,16,21,0.83
1939,244,14,23,0.58
2417,244,29,20,1.47
2418,244,17,17,1.09
2489,244,22,22,0.97
2490,244,19,18,1.03
3452,244,12,19,0.69
3453,244,16,21,0.92
3503,244,15,17,0.89
3512,244,18,20,0.86
3520,244,18,19,0.95
3521,244,18,17,1.08
3522,244,19,12,1.60
3690,244,24,15,1.26
3691,244,15,16,0.91
3793,244,17,11,1.12
3794,244,21,26,0.91
3925,244,4,16,0.28
3926,244,25,22,1.18
5974,770,18,21,0.85
5975,770,27,20,1.21
5976,770,14,19,0.75
6029,770,23,13,1.57
6030,770,17,13,1.15
6069,770,14,19,0.71
6070,770,13,16,0.86
6457,770,19,10,1.61
6458,770,14,10,1.21
